candidate_id,family_topic,family_category,template_id,mutation_depth,score,health_score,convergence_score,novelty_score,family_fit_score,stability_score,overfit_risk,coupling_risk,decision,expression,source_doc,mutations
minimax27_24_51e330af,offline-minimax27-model-ab,general,control_expr,0,34.84,100.0,0.0,66.01,0.0,38.0,18.0,0.0,drop,"add(fnd2_dfdtxasoprlcarryfwd, fnd2_dfdtxastxdfdexprssaccrs)",,
minimax27_12_7e35b4aa,offline-minimax27-model-ab,general,control_expr,0,34.68,100.0,0.0,65.09,0.0,38.0,18.0,0.0,drop,normalize(fnd2_dfdtxasoprlcarryfwd),,
minimax27_18_6cb8f0c5,offline-minimax27-model-ab,general,control_expr,0,34.47,100.0,0.0,63.96,0.0,38.0,18.0,0.0,drop,normalize(fnd2_dfdtxastxdfdexpcompbnf),,
minimax27_20_75e3d992,offline-minimax27-model-ab,general,variant_expr,0,34.32,100.0,0.0,63.11,0.0,38.0,18.0,0.0,drop,"multiply(rank(fnd2_dfdtxastxdfdexprssaccrs), rank(neg(fnd2_dfdfeditxexp)))",,
minimax27_19_aaa87a03,offline-minimax27-model-ab,volatility_risk,baseline_expr,0,34.25,100.0,0.0,62.72,0.0,38.0,18.0,0.0,drop,"divide(fnd2_dfdtxastxdfdexprssaccrs, fnd2_dfdtxasoprlcarryfwd)",,
minimax27_23_b01fd3fd,offline-minimax27-model-ab,volatility_risk,variant_expr,0,34.04,100.0,0.0,52.2,0.0,52.0,18.0,0.0,drop,"multiply(group_rank(add(fnd2_dfdtxasoprlcarryfwd, fnd2_dfdtxastxdfdexprssaccrs), sector), rank(growth_potential_rank_derivative))",,
minimax27_15_9dd6ca24,offline-minimax27-model-ab,general,control_expr,0,33.96,100.0,0.0,61.09,0.0,38.0,18.0,0.0,drop,neg(fnd2_dfdfeditxexp),,
minimax27_21_e7de07ad,offline-minimax27-model-ab,general,control_expr,0,33.14,100.0,0.0,56.57,0.0,38.0,18.0,0.0,drop,rank(fnd2_dfdtxastxdfdexprssaccrs),,
minimax27_16_5bafe1c1,offline-minimax27-model-ab,general,baseline_expr,0,32.85,100.0,0.0,42.96,0.0,56.0,18.0,0.0,drop,"ts_mean(fnd2_dfdtxastxdfdexpcompbnf, 20)",,
minimax27_22_11ef5dae,offline-minimax27-model-ab,general,baseline_expr,0,32.63,100.0,0.0,53.75,0.0,38.0,18.0,0.0,drop,"group_zscore(add(fnd2_dfdtxasoprlcarryfwd, fnd2_dfdtxastxdfdexpcompbnf), sector)",,
minimax27_11_62f497fc,offline-minimax27-model-ab,general,variant_expr,0,32.47,100.0,0.0,40.84,0.0,56.0,18.0,0.0,drop,"rank(ts_zscore(fnd2_dfdtxasoprlcarryfwd, 20))",,
minimax27_10_290e6711,offline-minimax27-model-ab,volatility_risk,baseline_expr,0,31.73,100.0,0.0,48.71,0.0,38.0,18.0,0.0,drop,"ts_delta(fnd2_dfdtxasoprlcarryfwd, 1)",,
minimax27_14_4d83cf98,offline-minimax27-model-ab,volatility_risk,variant_expr,0,31.62,100.0,0.0,48.09,0.0,38.0,18.0,0.0,drop,"multiply(rank(neg(fnd2_dfdfeditxexp)), ts_rank(earnings_certainty_rank_derivative, 20))",,
minimax27_07_a7016aa0,offline-minimax27-model-ab,volatility_risk,baseline_expr,0,30.99,100.0,0.0,44.59,0.0,38.0,18.0,0.0,drop,"multiply(rank(growth_potential_rank_derivative), rank(earnings_certainty_rank_derivative))",,
minimax27_17_f96487f7,offline-minimax27-model-ab,volatility_risk,variant_expr,0,30.94,100.0,0.0,44.34,0.0,38.0,18.0,0.0,drop,"rank(ts_delta(fnd2_dfdtxastxdfdexpcompbnf, 1)) - rank(ts_std_dev(fnd2_dfdtxastxdfdexpcompbnf, 20))",,
minimax27_08_983ab6a8,offline-minimax27-model-ab,volatility_risk,variant_expr,0,30.47,100.0,0.0,41.75,0.0,38.0,18.0,0.0,drop,"rank(add(growth_potential_rank_derivative, earnings_certainty_rank_derivative))",,
minimax27_09_37252177,offline-minimax27-model-ab,volatility_risk,control_expr,0,30.25,100.0,0.0,40.51,0.0,38.0,18.0,0.0,drop,"add(growth_potential_rank_derivative, earnings_certainty_rank_derivative)",,
minimax27_13_2d4dd6b6,offline-minimax27-model-ab,volatility_risk,baseline_expr,0,29.98,100.0,0.0,38.99,0.0,38.0,18.0,0.0,drop,"rank(neg(ts_delta(fnd2_dfdfeditxexp, 1)))",,
minimax27_02_753022a4,offline-minimax27-model-ab,volatility_risk,variant_expr,0,29.68,100.0,0.0,37.35,0.0,38.0,18.0,0.0,drop,"rank(group_zscore(multi_factor_static_score_derivative, sector)) - rank(multi_factor_static_score_derivative)",,
minimax27_05_63afa159,offline-minimax27-model-ab,volatility_risk,variant_expr,0,29.17,100.0,0.0,34.5,0.0,38.0,18.0,0.0,drop,"multiply(rank(multi_factor_acceleration_score_derivative), ts_rank(multi_factor_static_score_derivative, 20))",,
minimax27_01_9194f18a,offline-minimax27-model-ab,volatility_risk,baseline_expr,0,25.44,100.0,0.0,13.79,0.0,38.0,18.0,0.0,drop,"group_zscore(multi_factor_static_score_derivative, sector)",,
minimax27_04_7637bed6,offline-minimax27-model-ab,volatility_risk,baseline_expr,0,24.35,100.0,0.0,7.72,0.0,38.0,18.0,0.0,drop,"ts_rank(multi_factor_acceleration_score_derivative, 20)",,
minimax27_03_1bf75247,offline-minimax27-model-ab,volatility_risk,control_expr,0,24.25,100.0,0.0,7.14,0.0,38.0,18.0,0.0,drop,sign(multi_factor_static_score_derivative),,
minimax27_06_db7ddc66,offline-minimax27-model-ab,volatility_risk,control_expr,0,24.08,100.0,0.0,6.25,0.0,38.0,18.0,0.0,drop,sign(multi_factor_acceleration_score_derivative),,
