candidate_id,family_topic,family_category,template_id,mutation_depth,score,health_score,convergence_score,novelty_score,family_fit_score,stability_score,overfit_risk,coupling_risk,decision,expression,source_doc,mutations
qwen36_17_1f149dc3,offline-qwen36-model-ab,volatility_risk,variant_expr,0,34.76,100.0,0.0,53.56,0.0,56.0,18.0,0.0,drop,"ts_mean(multiply(earnings_certainty_rank_derivative, vec_avg(fnd2_dfdtxastxdfdexprssaccrs)), 10)",,
qwen36_01_e0458a31,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,33.53,100.0,0.0,58.72,0.0,38.0,18.0,0.0,drop,"subtract(ts_rank(multiply(growth_potential_rank_derivative, earnings_certainty_rank_derivative), 20), ts_rank(multiply(growth_potential_rank_derivative, earnings_certainty_rank_derivative), 5))",,
qwen36_16_bc4e2bd9,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,33.49,100.0,0.0,58.5,0.0,38.0,18.0,0.0,drop,"multiply(earnings_certainty_rank_derivative, signed_power(vec_avg(fnd2_dfdtxastxdfdexprssaccrs), -1))",,
qwen36_08_8f5aa54b,offline-qwen36-model-ab,volatility_risk,variant_expr,0,32.21,100.0,0.0,39.39,0.0,56.0,18.0,0.0,drop,"ts_zscore(add(multi_factor_static_score_derivative, log(1 + vec_avg(fnd2_dfdtxasoprlcarryfwd))), 20)",,
qwen36_18_2a10f197,offline-qwen36-model-ab,volatility_risk,control_expr,0,31.9,100.0,0.0,49.66,0.0,38.0,18.0,0.0,drop,"rank(multiply(earnings_certainty_rank_derivative, vec_avg(fnd2_dfdtxastxdfdexprssaccrs)))",,
qwen36_02_19e44daa,offline-qwen36-model-ab,volatility_risk,variant_expr,0,31.88,100.0,0.0,28.21,0.0,70.0,18.0,0.0,drop,"group_neutralize(ts_zscore(multiply(growth_potential_rank_derivative, earnings_certainty_rank_derivative), 60), sector)",,
qwen36_03_3dc51fad,offline-qwen36-model-ab,volatility_risk,control_expr,0,30.84,100.0,0.0,43.76,0.0,38.0,18.0,0.0,drop,"rank(multiply(growth_potential_rank_derivative, earnings_certainty_rank_derivative))",,
qwen36_15_a968a6da,offline-qwen36-model-ab,volatility_risk,control_expr,0,30.52,100.0,0.0,41.99,0.0,38.0,18.0,0.0,drop,"rank(subtract(growth_potential_rank_derivative, vec_avg(fnd2_dfdtxastxdfdexpcompbnf)))",,
qwen36_14_7c7c9f34,offline-qwen36-model-ab,volatility_risk,variant_expr,0,30.31,100.0,0.0,40.85,0.0,38.0,18.0,0.0,drop,"group_zscore(subtract(growth_potential_rank_derivative, vec_avg(fnd2_dfdtxastxdfdexpcompbnf)), market)",,
qwen36_13_b05288bc,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,30.28,100.0,0.0,40.64,0.0,38.0,18.0,0.0,drop,"subtract(growth_potential_rank_derivative, vec_avg(fnd2_dfdtxastxdfdexpcompbnf))",,
qwen36_10_509098f0,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,30.19,100.0,0.0,40.16,0.0,38.0,18.0,0.0,drop,"divide(ts_delta(fnd2_dfdfeditxexp, 5), ts_delta(multi_factor_static_score_derivative, 5))",,
