timestamp,expression,sharpe,fitness,status
2026-04-28T17:25:18.378391,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 60)), 5), subindustry)",1.32,0.94,submitted
2026-04-28T17:53:03.844483,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 40)), 5), subindustry)",1.1,0.68,submitted
2026-04-28T17:53:20.315881,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 5), subindustry)",1.24,0.89,submitted
2026-04-28T17:53:21.541077,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 60)), 10), subindustry)",1.25,0.98,submitted
2026-04-28T18:25:29.476470,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 20), subindustry)",0.99,0.74,submitted
2026-04-28T18:25:46.470025,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 120)), 10), subindustry)",0.95,0.69,submitted
2026-04-28T18:29:47.277165,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 10), subindustry)",1.15,0.9,submitted
2026-04-28T18:39:29.486209,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 80)), 5), subindustry)",1.29,0.94,submitted
2026-04-28T18:39:46.053462,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 5), industry)",1.15,0.88,submitted
2026-04-28T18:39:51.765719,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 70)), 5), subindustry)",1.37,1.01,submitted
